date;BTS Comdty;CN Comdty;DU Comdty;FV Comdty;G  Comdty;IK Comdty;JB Comdty;KAA Comdty;KE Comdty;OAT Comdty;OE Comdty;RX Comdty;TFC Comdty;TFS Comdty;TFT Comdty;TU Comdty;TY Comdty;UB Comdty;US Comdty;UXY Comdty;WN Comdty;XM Comdty;XQ Comdty;YM Comdty
2013-08-05;111.3146498861;;117.350311976;215.2913746071;209.1772677748;129.3315637922;256.6554711507;109.8303697047;148.3937405979;111.6159933815;187.9792184981;238.7084598719;;;;145.8404000207;452.1965220557;136.7693588355;337.2659573706;;133.7667112923;239.8619869362;;156.3957274938
2013-08-06;111.3764423103;215.3156843976;117.350311976;215.3052174419;209.0248105333;129.6429962339;256.5475329516;109.7318157817;148.4361944309;111.5992631061;187.8742754543;238.4561263164;;;;145.8507433115;452.2524454445;136.726695623;337.1869428097;;133.7667112923;237.732617562;107.3114539154;156.0065820661
2013-08-07;111.3970537137;215.6890901786;117.3609708115;215.4577518924;209.2746953748;129.5852845593;257.202068224;109.1819028533;148.3374924931;111.7917913795;188.009293467;238.7759649596;;;;145.8610866023;453.2590664434;137.0468860939;339.086141068;;134.8831472239;238.1940704475;107.3379644311;156.1795891414
2013-08-08;111.5420485451;215.9666834147;117.3663266401;215.5547625826;209.1205435033;130.2348585338;257.1837539629;109.3299223858;148.4791858551;111.8759141558;188.0846752011;238.826716065;;;;145.8714298931;453.8742237205;137.0039824621;340.0357401971;;135.2357059391;238.5693762879;107.3379644311;156.1356974318
2013-08-09;111.5627110205;216.1309721246;117.3716692633;215.5547625826;209.3706054881;130.3158550794;257.2019978285;109.2311850217;148.5358963264;111.9682210525;188.0997143752;238.809840741;;;;145.8610866023;453.8742237205;137.0895781567;340.4312878011;;135.3532255108;237.8127325327;107.3379644311;155.9586683249
2013-08-12;111.6450018708;215.5559616399;117.3610304363;215.4298999442;209.4664920649;130.5347477738;257.2383721967;109.6749923531;148.5783802822;112.0016413772;188.0847405349;238.7258306738;;;;145.8610866023;453.2031430546;136.8126006571;339.6399551934;;134.7361889994;238.2839586714;107.311137395;155.9145796611
2013-08-13;111.5937906274;213.9195870004;117.2392085432;214.6124244796;206.6893737556;130.1676672031;257.4172248802;109.330693285;148.493630071;111.0532463259;187.1007047649;236.4338252097;;;;145.7886835668;449.9036631138;134.47899442;335.8415586768;;132.7971160657;237.0724181582;106.8657925145;155.7399882532
2013-08-14;111.6451179434;213.8212143012;117.2710601974;214.6817772171;206.3429334045;130.4550989028;257.0590452965;108.5262549779;148.2682473541;111.1866560988;187.2650824536;236.5847361848;;;;145.7990268576;450.1832800579;134.2025795017;335.8415586768;;132.7971160657;235.2111210166;106.8390200524;155.4330719037
2013-08-15;111.5528332399;213.134202644;117.2339419516;214.2798639045;205.4758291272;129.8119798998;257.220605048;;;110.5620048871;186.8471396259;235.177826358;;;;145.7576536945;449.176659059;132.6946357714;334.4171599831;;131.8863981445;234.385145602;106.6787578744;155.259261667
2013-08-16;111.6353717118;212.2675106503;117.2552836324;213.9058025418;205.0696716491;130.3088593047;256.8786255924;108.4179205316;148.2682473541;110.6877082243;186.9522719125;235.3632046547;;;;145.7266238221;447.3311872277;132.801486138;331.8058810778;;130.5936828554;232.9986730716;106.5185421492;154.9956246856
2013-08-19;111.490734384;211.6938921731;117.2392557628;213.587070944;204.1185109973;129.4641810431;256.6814458487;107.9451247945;148.1833869098;110.2933060294;186.8018801714;234.8738202597;;;;145.7162805314;445.9890258959;132.2879119705;330.1439639019;;129.7122860673;232.0849842995;106.3847316883;154.8211640762
2013-08-20;111.4491741927;212.8672039857;117.2822400496;214.0996576437;205.3615568056;129.1267137809;257.1515376532;108.8454613672;148.4363232941;110.6224389058;187.2102493386;236.0278745096;;;;145.7576536945;448.0022678937;133.4069902482;332.5972136855;;130.7992833461;232.901105474;106.6597023509;155.0376821631
2013-08-21;111.4491741927;212.2839177285;117.255474912;213.5593991319;204.6230276264;128.7673162556;257.3852840287;108.5900852718;148.3375984013;110.3197553013;186.9239485664;235.2331897065;;;;145.7059372406;446.3804896177;132.485044606;331.2518295526;;130.0941659157;232.901105474;106.5538734686;155.0376821631
2013-08-22;111.5627752474;211.8117989526;117.2447936673;212.866439891;204.5651537813;129.1605807145;257.0469112928;108.0915232909;148.2393402119;110.0429383191;186.6232777287;234.5415605388;;;;145.6231909143;444.7587113417;131.8860991353;330.6980154272;;130.0354061298;231.0145224709;106.4208631029;154.6507415377
2013-08-23;111.552404545;212.8362668094;117.196526382;213.2821821791;204.8378558934;129.0560444963;256.6545940815;108.2488185108;148.3805020414;109.9839731806;186.2458621578;234.2874637388;;;;145.6438774959;446.8838001171;132.1009057975;333.784093897;;131.8863981445;231.5521865213;106.598008037;154.7367061566
2013-08-26;111.3764577866;213.4385679511;117.2339919724;213.5474581786;204.8378558934;128.5691916173;256.7258882862;108.6237036263;148.493827197;110.2613916683;186.6677160044;235.0820297283;;;;145.6956896188;447.6180631861;132.6797153475;334.1839067879;;132.2724375296;232.2728599326;106.7487387793;154.7798027713
2013-08-27;111.1898826446;214.8558680668;117.2875942777;214.203867891;207.031470074;127.9771291162;257.1595512966;108.741791337;148.5079572956;110.3708411576;187.0147569719;235.9116457316;;;;145.7371393171;450.4421519128;133.323798747;337.3035031595;;134.113265239;233.7088975751;106.9705704412;155.0362658152
2013-08-28;111.313755353;213.9256096053;117.2662413922;213.7430180518;206.546219662;128.4395851843;257.6989107864;109.1937480354;148.5784965291;110.2786103133;186.8494623565;235.5069716458;;;;145.6853271942;448.5782533532;133.0458419394;335.4636919742;;132.9850159978;234.3390978705;106.7305581451;155.1216711771
2013-08-29;111.3546902998;214.5116323377;117.2927024033;213.9525295301;207.1655813206;128.6458964043;257.9130106948;109.3619282029;148.7063434006;110.3949830871;187.0431265022;236.0084535409;;;;145.6853271942;449.5949252948;133.2154177106;337.0634234572;;134.0538837;234.1592154811;106.8458228304;155.0790473747
2013-08-30;111.3648930838;214.3655989399;117.2979785988;213.9385918915;207.1655813206;128.5316257285;257.8056334708;109.8766074152;148.8484633421;110.3038238905;187.0876830547;236.1084465661;;;;145.7371393171;449.2560346476;133.3210820085;337.6234494561;;134.7960935561;234.428563952;106.8723366251;155.1641276136
2013-09-02;111.5095374079;;117.2394351;;205.9462801413;128.8114524257;257.4881374139;109.3835841455;148.6927310793;110.0166853471;186.5565859201;235.1034937272;;;;;;132.419487147;;;;233.3369370719;;154.9050505064
2013-09-03;111.5404550734;213.1999053686;117.1969645334;213.3240090616;205.185881546;128.8928643507;257.2071629474;109.3340569669;148.6500649412;109.7976581715;186.2689973682;234.3219314663;;;;145.6231526467;446.657873019;131.7556891915;333.4641476004;;132.5099636857;232.6061663445;106.618338599;154.6442144139
2013-09-04;111.4267456474;212.6307416104;117.2129394156;212.6536617106;205.5302200522;128.2979170452;257.1185231892;109.0769799256;148.5932793133;109.8314571043;186.5119134782;234.543479267;;;;145.4780787026;444.963419783;132.1637699893;332.4242021566;;132.0349113736;232.1449954611;106.4724355885;154.3366704877
2013-09-05;111.2006537071;211.311418318;117.0858860218;211.7598652426;203.0306146906;127.300526159;257.1008838507;108.4617992137;148.3083549988;108.9830134826;185.7119487787;232.6458964815;;;;145.3122799093;442.4782217034;130.6904391899;329.384712339;;130.2534652032;231.2309147412;106.0539621291;154.1622065595
