,1m,2m,3m,4m,5m,6m,7m,8m,9m,10m,11m,12m,13m,14m,15m,16m,17m,18m,19m,20m,21m,22m,23m,24m,25m,26m,27m,28m,29m,30m,31m,32m,33m,34m,35m,36m,37m,38m,39m,40m,41m,42m,43m,44m,45m,46m,47m,48m,49m,50m,51m,52m,53m,54m,55m,56m,57m,58m,59m,60m,61m,62m,63m,64m,65m,66m,67m,68m,69m,70m,71m,72m,73m,74m,75m,76m,77m,78m,79m,80m,81m,82m,83m,84m,85m,86m,87m,88m,89m,90m,91m,92m,93m,94m,95m,96m,97m,98m,99m,100m,101m,102m,103m,104m,105m,106m,107m,108m,109m,110m,111m,112m,113m,114m,115m,116m,117m,118m,119m,120m,121m,122m,123m,124m,125m,126m,127m,128m,129m
2003-01-31,,0.2714918174264548,0.27437223544294226,0.2772526534594298,0.28013307147591726,0.28301348949240474,0.28589390750889226,0.28889816975569943,0.29307895219054375,0.29725973462538813,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-03,,0.25963009788157976,0.26455910556033435,0.26948811323908894,0.27441712091784354,0.27934612859659813,0.2842751362753527,0.2892791442836207,0.294733154268969,0.30018716425431735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-04,,0.27390980487004113,0.2764212319006078,0.27893265893117447,0.2814440859617412,0.28395551299230787,0.28646694002287454,0.28935469368408523,0.2938418355255326,0.29832897736698005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-05,,0.2751812050030803,0.27749273140750436,0.27980425781192836,0.2821157842163524,0.2844273106207765,0.2867388370252005,0.2875942281204351,0.2837899862262636,0.2799857443320921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-06,,0.27550195944867806,0.27777661654515934,0.2800512736416406,0.28232593073812196,0.28460058783460324,0.2868752449310845,0.28997981519931626,0.2951591683969241,0.3003385215945319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-07,,0.2741441968427804,0.2766775738705249,0.27921095089826936,0.28174432792601384,0.2842777049537583,0.2868110819815028,0.29035944536456865,0.2959377814582773,0.301516117551986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-10,,0.27795143406411194,0.2798287212221937,0.2817060083802755,0.28358329553835726,0.28546058269643904,0.2873378698545208,0.290830550265172,0.29694824471124864,0.30306593915732527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-11,,0.2965399442934444,0.29509687736897994,0.29365381044451544,0.292210743520051,0.29076767659558655,0.28932460967112206,0.2907825484387842,0.2961084947959484,0.3014344411531126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-12,,0.2978570270228165,0.2961630824755824,0.2944691379283482,0.2927751933811141,0.2910812488338799,0.2893873042866458,0.2910929365541542,0.29653810331787944,0.3019832700816047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-13,,0.278118394442817,0.28001416589238953,0.281909937341962,0.2838057087915345,0.28570148024110703,0.2875972516906795,0.29165341918901044,0.29767358309530356,0.3036937470015967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-14,,0.26774947209223887,0.27157193775945804,0.2753944034266772,0.2792168690938963,0.2830393347611155,0.28686180042833465,0.2905985140473499,0.29427091363021224,0.2979433132130746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-17,,0.30094751894661276,0.2986342632131714,0.29632100747972995,0.29400775174628857,0.2916944960128472,0.28938124027940576,0.29335166694276177,0.30118897508107,0.3090262832193783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-18,,0.29545878239188805,0.2941540106934091,0.29284923899493004,0.291544467296451,0.290239695597972,0.288934923899493,0.2931504288728942,0.3001260721822355,0.30710171549157683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-19,,0.2988183508091661,0.2968662303858102,0.29491410996245443,0.2929619895390986,0.2910098691157427,0.28905774869238693,0.29284201134547294,0.29892082722913577,0.30499964311279854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-20,,0.2997014615013641,0.2975630006692855,0.29542453983720685,0.29328607900512815,0.2911476181730495,0.2890091573409709,0.293356707518957,0.29973113613758834,0.3061055647562197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-21,,0.28085717955433775,0.282329649548456,0.28380211954257434,0.2852745895366926,0.28674705953081087,0.2882195295249292,0.29344535746193884,0.2995543284443347,0.30566329942673054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
