,LTN NTNF 0.5y,LTN NTNF 1y,LTN NTNF 1.5y,LTN NTNF 2y,LTN NTNF 3y,LTN NTNF 4y,LTN NTNF 5y,LTN NTNF 6y,LTN NTNF 7y,LTN NTNF 8y,LTN NTNF 9y,LTN NTNF 10y
2015-11-23 00:00:00,294.2977757516705,311.9212951521704,319.8305235479921,324.7914612390753,322.534599864754,327.12996249024536,322.7073655505894,331.41069297384024,319.28268137115964,325.5505081097705,325.73933952880265,325.73933952880265
2015-11-24 00:00:00,294.37451191137416,311.8076162549151,319.57862596880267,324.3889707265311,321.92021582412497,326.623501353179,323.40023230183596,330.96944656990263,318.9310773513856,325.19200176423584,325.38062523623597,325.38062523623597
2015-11-25 00:00:00,294.5203629376102,311.80216395404886,319.2553046426137,323.5556564495108,320.15129249006674,324.0980881280208,319.9155587913637,327.5211972236257,315.13743384449987,321.32388537925004,321.5102651996884,321.5102651996884
2015-11-26 00:00:00,294.6023579862953,311.40149287070034,318.3977616149066,322.61994768685526,318.82476346249655,322.92869763478313,318.0439098026252,326.4360610779905,314.20724577456673,320.3754368210511,320.561266506003,320.561266506003
2015-11-27 00:00:00,294.70421921430614,311.29748074904626,317.9898163917351,321.3836680975277,316.7040961926047,320.18129213606596,317.7333268308781,322.8045964955842,310.44190208393684,316.53617580498764,316.7197785755664,316.7197785755664
2015-11-30 00:00:00,294.82802194046644,311.21261343608535,317.654577268959,321.05732686766964,316.2703956048907,319.8645520385701,314.0487150947382,322.7198184665681,310.15760792646233,316.2463006792182,316.4297353114284,316.4297353114284
2015-12-01 00:00:00,294.99973815872244,311.5459871700337,318.11114501483775,321.90882141939636,317.878905277299,321.7539442247081,314.4814974658181,324.84000372678656,312.62033774157806,318.757376254019,318.94226740358135,318.94226740358135
2015-12-02 00:00:00,295.2161421446232,311.99632468668756,318.7120655738687,322.8898801517904,319.40913958900677,323.2911062367264,316.9273979381234,326.77593698265366,314.26764752467477,320.4370243157249,320.6228897237174,320.6228897237174
2015-12-03 00:00:00,295.35049278057807,311.92265107525253,318.5064621979633,322.5335095832544,318.86256168862815,322.95321915465433,320.5696126687812,326.06783347222415,313.7879784393343,319.9479388639662,320.13352058418195,320.13352058418195
2015-12-04 00:00:00,295.5105338042341,312.120184130958,318.69727346668043,322.7875851572161,319.1833861698786,323.51227824248235,318.32438428468913,327.1421354130939,314.8396190053967,321.02022414784125,321.20642783345625,321.20642783345625
