,DDI 0.5y,DDI 1y,DDI 1.5y,DDI 2y,DDI 3y,DDI 4y,DDI 5y,DDI 6y,DDI 7y,DDI 8y
2023-02-08 00:00:00,120.10906184159478,93.30167266557832,94.25048048611791,97.49609612089886,106.23812556518756,115.1536069064232,123.57249691082234,129.95877348821946,137.19070022019494,142.80362391023175
2023-02-09 00:00:00,120.84949215700232,94.36388855811252,95.27506852417012,98.5033327442216,107.1928170446396,116.13213746749815,124.6365328275147,131.06620138892498,138.32019421817944,144.00466633234404
2023-02-10 00:00:00,120.43707043328236,93.7666815150417,94.65947599072987,97.85444850577511,106.45947244531206,115.17321456107634,123.46565027603283,129.7162020007667,136.82026286626416,142.30707696759052
2023-02-13 00:00:00,119.7914777986013,92.83248575983289,93.70113857647551,96.84844938727541,105.34209485474815,113.99083638047816,122.18568632858452,128.27518271072935,135.3859376872698,141.15163876031497
2023-02-14 00:00:00,120.09772063772633,93.25930579965384,94.0236832250947,97.07913927775562,105.49868503843344,113.9989040072495,122.1157976805379,128.14170286306688,135.21940260713708,140.96073708672276
2023-02-15 00:00:00,120.25627190699916,93.48820782263152,94.2547755940831,97.30872430438393,105.61006626621852,114.15536393530816,122.34634588869625,128.37993892486992,135.457920236677,141.20046383894635
2023-02-16 00:00:00,120.14798118991251,93.3336899441851,94.11168178109065,97.17177017303848,105.45494155066416,114.03151701015818,122.23126593260181,128.26933900390884,135.31612254334078,140.72276228124275
2023-02-17 00:00:00,119.49508242646554,92.39290273368711,93.17470035397785,96.22161125030067,104.5135235316408,112.80888896098968,120.81545401744981,126.75402395791636,133.68205128568505,138.92526917815073
2023-02-22 00:00:00,119.53501606748576,92.43999720913759,93.14749755935185,96.11592046845743,104.23123467439055,112.36481977932556,120.1973737762425,126.03771027581315,132.68449023117674,138.05692133644405
2023-02-23 00:00:00,119.19239174192228,91.94765135014872,92.66675373760408,95.6326349243574,103.70289888511915,111.97229485416352,119.89994495079439,125.72645650034482,132.38785539420346,137.72885258106726
2023-02-24 00:00:00,119.94861765725103,93.02947162650963,93.68847968146825,96.61933289206564,104.67514835532523,112.94364601813334,120.87729198771805,126.61265099217924,133.29204854999807,138.592255675487
2023-02-27 00:00:00,119.6977466896558,92.66849536419541,93.33260585369206,96.26006348434608,104.29633887514593,112.51600237924794,120.63511292139212,126.40162885874204,133.11030476407257,138.43658466229653
2023-02-28 00:00:00,120.1057902539632,93.25430690002062,93.90076654904989,96.82648526258512,104.9136578290268,113.20943599855374,121.27691146907259,127.10410475782965,133.89098781829293,139.242806434645
2023-03-01 00:00:00,119.70508671482494,92.66662646770456,93.2424656439728,96.07956542504226,103.97645804230078,112.14650104098774,120.04757154414625,125.72846379272487,132.41497777683657,137.63952075846902
2023-03-02 00:00:00,119.69046911496827,92.64316580071129,93.20209304206803,96.01869699112356,103.84004120575993,111.88429794982808,119.70095227286409,125.30963207745748,131.91794527941363,137.07395208287858
2023-03-03 00:00:00,119.73739346316609,92.71367535535472,93.2928484147898,96.13582091673462,104.05090271840444,112.07066826037267,119.97664069398769,125.63337072718573,132.29413459987404,137.4958584877894
2023-03-06 00:00:00,119.3617927922897,92.1685474130964,92.72218859828217,95.5262734144736,103.37024830488727,111.379234384369,119.18384781941425,124.79546835406617,131.45723727267105,136.616466006222
2023-03-07 00:00:00,119.61059780292227,92.52386361028292,93.05339294268987,95.84384147903215,103.71233869083909,111.73010073193568,119.52083392487533,125.11568211660378,131.77299403501323,137.06459519600492
2023-03-08 00:00:00,118.88032701526518,91.46654778680387,91.96460235711,94.69754765749146,102.44147435248526,110.34360241789084,117.95532258798652,123.43960293763337,130.03285645974418,135.28847464991475
2023-03-09 00:00:00,118.68271173103477,91.19223186704654,91.76541894473944,94.56696657337861,102.38800307747744,110.3567627014339,118.06630727930353,123.63655358288885,130.32390865327636,135.67192381036958
2023-03-10 00:00:00,119.8256867230563,92.86140034840649,93.58538664412531,96.58300736555356,104.79953571225191,113.17335846807755,121.36605105923925,127.29787795811944,134.37793909418284,140.07381118875318
2023-03-13 00:00:00,120.48966771159476,93.85823316196442,94.86246285976851,98.14793273667898,106.5265735013008,114.98724931435018,123.34895063674048,129.30437709417222,136.65015018855001,142.5780905401214
2023-03-14 00:00:00,120.44100063942138,93.78458255425804,94.76411112386971,98.01450517494006,106.21760208179778,114.50467622698443,122.74379754621768,128.58454137888032,135.80435956697,141.61917143525014
2023-03-15 00:00:00,121.12920917692205,94.7949357086062,95.90292719279915,99.30171817044894,107.67292245588193,116.15329906496333,124.66098656999367,130.73706045481595,138.21382117369956,144.26350405087584
2023-03-16 00:00:00,120.36262970898576,93.67563213305176,94.68381353739414,97.96510672999484,106.27412726996374,114.65291077348192,123.0758844602937,129.18297044205016,136.54436559242808,142.49142329048297
2023-03-17 00:00:00,120.83607846761767,94.3759921093395,95.51007806935769,98.94320350004847,107.61131558473753,116.34932215271057,124.90878061282662,131.29358461850256,138.9588383295329,145.17580190481502
2023-03-20 00:00:00,120.4357289163131,93.79440211745877,94.89742606069817,98.2847304786267,106.85415162510877,115.42804053476699,123.91647050703445,130.20993199866854,137.7705611896718,143.89741574519724
