,FRC 0.5y,FRC 1y,FRC 1.5y,FRC 2y,FRC 3y,FRC 4y,FRC 5y,FRC 6y,FRC 7y,FRC 8y
2022-01-11 00:00:00,116.56482443922401,125.7801541746062,130.41278946142208,136.32767309516532,150.74530784592082,165.6833597023508,179.64945408317206,191.5025667307099,204.22257681721783,216.1938993785938
2022-01-12 00:00:00,116.56592745343077,125.78263563062929,130.429520589833,136.36097208992388,150.8820577281264,165.88001190192014,179.91237539342953,192.0209588062979,204.4977753320614,216.26095435523365
2022-01-13 00:00:00,116.55573525444379,125.76053155773165,130.38375259361993,136.2905478120776,150.84686025922483,165.88334735785412,179.76504493295388,191.93328933258437,204.5237140184253,216.56584718470253
2022-01-14 00:00:00,116.57122167502152,125.79361512273235,130.3870716437176,136.26062015529678,150.67776345895587,165.58778052270785,179.4446574519796,191.63238109205793,204.15127071859243,215.9910542878048
2022-01-17 00:00:00,116.55588851951313,125.76057751880035,130.34667215955616,136.2112228603211,150.55851327389027,165.4128024462875,179.2069539851431,191.05124345446671,203.90492520541932,215.54625953536575
2022-01-18 00:00:00,116.52794165312567,125.7001041618995,130.23907049333113,136.0519070189479,150.29360120444215,164.97740962738553,178.6294895663684,190.32505963317078,202.7813518948469,214.11630978704136
2022-01-19 00:00:00,116.50487305533275,125.65055203090907,130.19841887475837,136.02360115572316,150.4912329059518,165.25959179507836,179.08202811458622,190.99071832642719,203.5902230907254,215.0629009846343
2022-01-20 00:00:00,116.50252461440645,125.64575469206707,130.22687533276746,136.08602666557542,150.4743183258561,165.28939015359745,179.11972956653761,191.042253349996,203.65459906924153,215.13327340762865
2022-01-21 00:00:00,116.52624291400355,125.69681293407513,130.28324635045402,136.14893055189265,150.57955822461307,165.55659553250985,179.4758244695461,191.48336258104172,204.1970245448874,215.77473858734587
2022-01-24 00:00:00,116.52488363844512,125.69415547487604,130.31543950436944,136.2185258050863,150.6901708599214,165.7785166832087,179.69865945100767,191.855970330711,204.7678001548078,216.5567988726726
2022-01-25 00:00:00,116.52162565905317,125.68702145325295,130.29179537982776,136.1781593165413,150.70294620950605,165.73551902788074,179.71777597469318,191.8834811955742,204.67111541801313,216.33935032639576
2022-01-26 00:00:00,116.52250006094874,125.68900524603933,130.30725386265428,136.20815743290143,150.75140806621744,165.6894809487654,179.42549776883928,191.50996675465342,203.9776334842273,215.1115735577454
2022-01-27 00:00:00,116.47576791752319,125.58803381014022,130.1472091488655,135.98469187725757,150.50535822402492,165.3950555580521,179.41707848186672,191.41013981276154,204.09194635587707,215.51852980157423
2022-01-28 00:00:00,116.49300776253831,125.62502649277158,130.17243492905035,135.9982256994466,150.55446880174196,165.4811572600271,179.71021431384924,191.92695876734174,204.70014986808678,216.20955314447284
2022-01-31 00:00:00,115.98384319358007,124.52960926474717,129.04911321437262,134.83734756680522,149.32455560244085,164.2101596832418,178.30774904833518,190.45356373571792,203.1590976265853,214.61723580962428
2022-02-01 00:00:00,115.97865258254268,124.52039766479328,129.04582033848337,134.83566314934725,149.28431876921604,164.15259620008428,178.17686307456802,189.86202825819245,202.44873184851028,213.92125233753177
2022-02-02 00:00:00,115.9943844123166,124.55237756273117,129.08526029875011,134.88796536966368,149.40702540474567,164.3136008192964,178.22535282610926,190.33384862635802,202.80690869982456,214.3528801427061
