date;CDS Argentina;CDS Australia;CDS Austria;CDS Belgium;CDS Brazil;CDS Chile;CDS China;CDS Colombia;CDS Denmark;CDS Finland;CDS France;CDS Germany;CDS Greece;CDS Hungary;CDS Indonesia;CDS Ireland;CDS Italy;CDS Japan;CDS Kazakhstan;CDS Korea;CDS Malaysia;CDS Mexico;CDS Netherlands;CDS Panama;CDS Peru;CDS Philippines;CDS Poland;CDS Portugal;CDS Qatar;CDS Russia;CDS Saudi Arabia;CDS South Africa;CDS Spain;CDS Sweden;CDS Thailand;CDS Turkey;CDS Ukraine;CDS United Kingdom;CDS United States;CDS Venezuela
2009-10-28;102.9840510999;100.075625647;100.2219705738;99.9232716389;99.2584108893;99.9217862013;99.5235311987;99.071460114;100.057508555;100.0854268346;100.0839434515;100.0699331766;99.4943517102;;99.8005793022;100.1646839891;99.8407885394;99.3148197768;100.6152142383;100.0393039931;99.5384551892;98.9853112809;100.2027654645;99.3704795867;99.3676966017;99.7103942117;100.1300952454;99.3080498191;100.2102759934;100.5122036276;100.2404560666;99.3737007166;99.9183193966;99.903424966;98.7654777738;99.8366866557;101.0555424255;99.9803777952;146.2324402569;97.5011875654
2009-10-29;103.0477730332;100.0073836825;100.1929975025;99.92085744;99.7596928285;100.1331667602;99.3305735699;99.6329673696;100.1055210023;100.0820828653;100.0694258895;100.0417464317;99.4680569702;;99.4820328146;100.0136089984;99.8076866027;99.1583730203;101.0462041459;99.932253534;99.3398199757;99.6416668665;100.187377989;99.8883418521;99.7987750986;99.6248727338;100.4061315881;99.2804320696;100.1277647884;100.9609394501;100.1341217032;99.7737370384;99.8378444724;99.8023123806;98.595205911;100.3634050974;100.6780982813;99.8868571152;146.197581118;97.7560191015
2009-10-30;102.9427946306;100.0089287184;100.145572729;99.9253334249;99.6039662397;100.1156272138;99.4956412203;99.6417848335;100.0825674403;100.0813166323;100.0641191326;100.1042406991;99.4661927335;;99.5621926901;99.7584561654;99.7606487102;99.2397166915;101.1815228912;100.1732253451;99.5671222891;99.5302812804;100.1749271668;99.7458549838;99.6518275121;99.8126714151;100.3888371354;99.2680327928;100.1373416141;100.7737517196;100.1059124956;99.6806210084;99.8160157316;99.7891398276;98.8996124846;100.1870560551;96.8892488046;99.8384209794;146.2735810865;97.6235244382
2009-11-02;102.5010427191;100.006390021;100.1608734031;99.8926543818;99.7044290119;100.1174289134;99.3851021422;99.6558077478;100.0615082287;100.0804664371;100.0365348117;100.0582182297;99.2214554735;;98.9777290817;99.6964955259;99.7842634821;99.1398500854;101.1935498743;99.9866653402;99.3953964256;99.6030922504;100.1857881091;99.7919406264;99.723348782;99.4632921823;100.3933366295;99.2327046091;100.0911015145;100.882994768;100.117855456;99.7466671586;99.8252258432;99.7764356966;98.7112597134;100.2898080829;97.4080816381;99.8306812967;146.2093556854;96.9434789699
2009-11-03;102.0328413213;99.9836579201;100.1589226461;99.8627200542;99.614553412;100.0303828474;99.2957335932;99.4989317971;100.0546531979;100.0526739895;100.0447229249;100.0327367256;99.1243668577;;98.9208532444;99.5726356867;99.773545657;99.1192254192;100.8956716687;99.5523642142;99.119072925;99.6067930323;100.1845240462;99.5333162724;99.6166084764;99.2820348772;100.237667928;99.2281012969;100.0767041703;100.4859124523;100.1736702487;99.5481042715;99.8016198795;99.7372667139;98.6512523492;99.9141654616;96.6343607805;99.7727885167;146.1278620263;95.446841591
2009-11-04;102.1889286151;100.0082522505;100.1954840269;99.8884055498;99.7440936067;99.8938290502;99.3992069602;99.7144446186;100.0992938141;100.0491753935;100.0374519474;100.0448571576;99.1861372398;;98.8942651877;99.5908608686;99.8370690483;99.1128439389;101.1929845333;99.8261419456;99.1559826059;99.6963583227;100.2154475915;99.8457414076;99.7602063249;99.421129763;100.2518606285;99.2288178727;100.101287447;100.9931202214;100.1121701908;99.902457714;99.8000393841;99.7551712992;98.7462689888;100.3753183046;96.8309728315;99.7642320961;146.2171726189;95.6923066631
2009-11-05;102.0338962343;99.9403162936;100.1664091935;99.890263569;99.7874904609;99.9251557084;99.369772195;99.8738416009;100.0817419644;100.0976546739;100.0420827258;100.0548742555;99.0256037702;;98.8058532568;99.5648069986;99.8169602553;98.9399830579;101.0136228277;99.9344241187;99.1253611175;99.8473411699;100.2070434123;99.9310129892;99.7906757446;99.4368274675;100.1502905531;99.223782579;100.0431695137;100.9873293494;100.1653638514;99.755413565;99.8165284526;99.7292739298;98.738878317;100.318040087;95.9759973117;99.6450041892;146.2007151291;95.7241168911
2009-11-06;102.0356443431;99.9413894006;100.0907004021;99.8493608513;99.8383302936;99.9530914971;99.3681299435;100.0499319955;100.0509015208;100.0893543218;100.0478988055;100.0371421309;98.7315582662;;98.901717623;98.9415418513;99.7136070511;98.8417937246;100.8992694345;99.9409388173;99.2856880014;99.9098917025;100.191663452;100.0339054231;99.8752216275;99.5159690065;100.1342998227;99.094436632;100.0365081376;100.8867013264;100.1552364496;99.6673692272;99.7061658829;99.6517813614;98.8128723105;100.2487411273;96.5710974852;99.5065873385;146.1101221818;95.8445709005
2009-11-09;102.8610887112;99.9390880774;100.1633775664;99.8879100341;100.3045944033;100.6331120149;99.4826794003;100.6737766813;100.1118604283;100.0924792367;100.0589006436;100.0404960875;98.8659007958;;99.3758822126;99.0018403896;99.7897225483;98.4905335848;101.2871190915;100.1691511496;99.3757434588;100.5495420767;100.2044396003;100.6292637413;100.5667512182;99.8736626289;100.2199369415;99.1592972001;100.0919483236;101.2772263838;100.1689734164;99.926031301;99.7231854671;99.6667992677;98.8995277744;100.5461790739;96.4632519076;99.492997867;146.0858422504;96.6348513947
2009-11-10;103.3536876537;99.9878665214;100.1971194998;99.8869045773;100.4316602214;100.4809154435;99.4998409616;100.6065561773;100.1262387308;100.1068735479;100.0583677881;100.0572046471;98.8669084415;;99.5511038906;99.0640085562;99.7918619786;98.5190899945;101.3275493833;100.3392840952;99.5219564312;100.6327770868;100.2217873038;100.6889726803;100.6436593359;99.9893128938;100.3661656069;99.1639303892;100.0335236711;101.3818450925;100.1887875917;100.1427126588;99.7654114036;99.6919501918;99.0551090537;100.6333221926;96.4810552909;99.430587268;146.004364757;97.2629058928
2009-11-11;103.3997544407;99.9900185147;100.2138093832;99.9142376529;100.4391024775;100.4838522707;99.5623432744;100.6091089862;100.1246979118;100.1169856754;100.0675262793;100.0648539159;98.8985125785;;99.6079554952;99.0822397088;99.8082492176;98.6229475461;101.345765702;100.3637385826;99.5385024749;100.6331641769;100.228736101;100.6809328843;100.6469574064;100.1229255028;100.4310854916;99.1621351793;99.9665865715;101.4752041158;100.1916796636;100.219844061;99.7750838093;99.700945792;99.0985406346;100.7087993805;96.4086935397;99.4375168743;145.9846016281;97.3344980736
2009-11-12;103.5173679607;100.0271673799;100.1981154015;99.8166525633;100.2461766246;100.3594798313;99.5809686083;100.4312020449;100.1356982763;100.1309941392;100.0633144157;100.0503866786;98.8843156676;;99.5604117218;99.1028702098;99.7854628855;98.7148495287;101.3845228588;100.3602439485;99.554487231;100.52122067;100.2271269071;100.6155838675;100.5058296237;100.0402195393;100.4596791707;99.1407405235;99.9248048173;101.4382511973;100.1923305921;100.1793354226;99.7737202604;99.7287958406;99.1340636417;100.67309202;96.2724237199;99.4050820965;145.9734983138;97.3786891343
2009-11-13;103.7290243971;100.0302575466;99.9659858;99.5056865788;100.2664766406;100.4578366081;99.5434454925;100.4494826608;100.107335692;100.114111769;100.008127197;99.9964185758;98.3796650873;;99.5668212104;98.775771062;99.7099572796;98.9470971609;101.4442492147;100.2146961263;99.5501789029;100.5976688769;100.0574557109;100.6132965568;100.5573738248;100.048548317;100.2709195166;98.9849374178;99.9201971312;101.4560090807;100.2318581452;100.0052554388;99.6418429335;99.5718052417;99.1102598003;100.6192225276;96.0640178486;99.1359979549;145.8408856484;96.7689572132
2009-11-16;104.1678226614;100.037235765;99.7742378034;99.2665196507;100.49978454;100.6953152074;99.6872179257;100.6817516074;99.9631670942;99.9037814845;99.8812354711;99.903555494;98.0217717839;;99.9484115159;98.6293769063;99.3133068821;99.0133159985;101.5926738065;100.4045102701;99.6517116916;100.9693775222;99.8351788336;100.8741341971;100.7655060419;100.2866399944;100.2319254673;98.7084155013;99.8282949974;101.4970232083;100.227060047;99.7447739523;99.3321910915;99.4616804482;99.2767204089;100.6979771901;95.4318895019;98.9316201577;145.5603781517;96.227673365
2009-11-17;104.2521328997;100.0409182058;99.8812576346;99.4479269178;100.3952093316;100.5926402504;99.7675498614;100.5738999924;100.1188521262;100.0152756431;99.9814068387;100.0037524865;98.1423811509;;99.9778828974;98.7651725616;99.4325464778;99.0468759688;101.7884673935;100.5050970724;99.7317570262;100.889054534;99.9822614591;100.8603888504;100.7273898438;100.3228820269;100.2574395174;98.829893683;99.830505674;101.3196391902;100.1987465936;99.5058091261;99.5428694957;99.6079394294;99.3001851131;100.4907398713;94.4511804505;99.1216046665;145.6714406581;96.2153189728
2009-11-18;105.2749838903;100.0199486774;99.8504565245;99.3422546289;100.472485789;100.6362967595;99.7964066601;100.6238150631;100.0315882741;99.9456054353;99.9180713744;99.9612631986;97.6720843548;;99.849416632;98.6434861892;99.3824466292;99.0316030683;101.7717025433;100.5016763162;99.7253462716;100.9588576681;99.8745189645;100.9423302623;100.802460109;100.2057709795;100.2620682907;98.7507162819;99.6144760075;101.4227481971;100.1905281711;99.3985747344;99.4833638598;99.5002634807;99.3175468414;100.4339668997;93.5792004507;98.9892730348;145.5797837896;96.3265089505
2009-11-19;104.9851689563;100.0072557564;99.5499126183;99.1355789467;100.3901355905;100.5936821132;99.6514966008;100.4005585845;99.8937197495;99.811832063;99.8605371798;99.937421962;97.2884158831;;99.5394068092;98.3052516003;99.1091640018;98.959818434;101.7202844182;100.3918197331;99.588978996;100.8391878729;99.8286010502;100.7587519445;100.6415144104;99.993609893;99.8027863058;98.5287870883;99.6357007026;100.8088971661;100.2325194605;98.9362828529;99.1722802058;99.4543588411;99.2149500766;99.8864059529;93.3197977111;98.8749693898;145.4967492196;96.1657928453
2009-11-20;104.9574302903;99.9644227161;99.5489572726;99.2257365081;100.3955322296;100.5947620696;99.5907587215;100.4149829305;99.9958938428;99.7979958802;99.8933250259;99.936274143;97.6806887369;;99.5487378325;98.3508500586;99.1835199047;98.8096795971;101.7167431429;100.3669576014;99.57197339;100.8954374144;99.8928146799;100.8390474848;100.7018702747;99.9935046339;99.9100723225;98.6179343761;99.6350311221;100.8890626718;100.2303350794;99.0965872024;99.2541984291;99.5309170182;99.1646991322;100.0104264132;93.1902859198;99.0050841367;145.5987300105;95.7756897164
2009-11-23;105.5281966137;99.9308725394;99.6168164789;99.2746872619;100.5173179953;100.5814644291;99.5834188694;100.4687591171;100.0260687928;99.7569392728;99.8931166437;99.9712355259;97.7527184626;;99.5620741896;98.5476660149;99.2646372439;98.8148814233;101.8965050854;100.4012154247;99.6393253334;100.9179077831;99.9259859574;100.9192635194;100.7796526713;100.0342771026;99.9832340172;98.7206410549;99.6540811701;101.0287758053;100.2695832644;99.2852237364;99.2945289041;99.6070791943;99.2451931077;100.2232816364;93.8384153211;99.0353138238;145.5032955743;96.0065806549
2009-11-24;105.870450922;99.9072972441;99.5939311269;99.2447638399;100.4964097314;100.4450317412;99.5601909636;100.5151919473;100.0082638533;99.7279972204;99.8837189416;99.9265352807;97.1983524774;;99.2825802528;98.5311434779;99.1903664472;98.7744412807;101.8561205151;100.4324120718;99.6260228723;100.927795944;99.9385567915;100.9267738776;100.8027423414;99.9301737441;99.9499726147;98.6106551621;99.657713878;100.8177714334;100.250712187;99.2248364075;99.2760763432;99.623447869;99.2084603982;100.0501600907;94.8269504206;99.0011195769;145.3770055708;95.8837429402
2009-11-25;105.816728628;99.8954501536;99.6437479313;99.2647416921;100.5229227696;100.3288528102;99.5564240933;100.7202719494;100.0311137522;99.7258439708;99.8742496088;99.928267723;96.9470927128;;99.3104420829;98.5734236269;99.1872921552;98.7734007778;101.8917833835;100.3808032588;99.6208065438;100.9843264436;99.958616806;100.9793684128;100.8207451435;99.9158178694;100.0148888926;98.6460474171;99.1509869445;100.867663753;99.4796598725;99.3044025931;99.3059995874;99.6661459228;99.1967737516;100.0903537364;95.4270677683;98.9353296973;145.405300956;95.6375884972
2009-11-26;105.812096116;99.8946553143;99.539144077;99.1462806091;100.5248599778;100.3257432711;99.3450414694;100.7344975569;99.9909849655;99.713209324;99.8121862006;99.9176701805;96.3639451615;;98.4936910245;98.2599321058;98.9822735141;98.7695829231;101.3932905326;100.1450900613;99.2201899108;100.9879617023;99.9099295079;100.9813400708;100.8225098038;99.0739877516;99.736847909;98.5160918626;98.6861506222;100.29443107;98.6551542998;98.9273575513;99.1171425134;99.5726736826;98.9588322604;99.6202571476;95.5555066271;98.8565594206;145.4163157732;95.6253946558
2009-11-27;103.8965617198;99.8545573135;99.4686756929;99.1556242955;100.0243562842;100.1515386018;99.0624548976;100.2857191068;100.0069092429;99.7166824261;99.7732139034;99.8852894352;96.5684321538;;97.9374082087;98.2564481104;98.9452552096;98.3251560084;101.0685118773;99.6308488521;98.7069316744;100.4733743659;99.905788255;100.5167598769;100.3637082283;98.6941548114;99.4460019727;98.5318985127;98.445503291;99.8751543577;98.7017792223;98.756741779;99.0524689748;99.590567094;98.5470768165;99.2718553529;95.2027716387;98.8095207309;145.4350637182;94.762526738
2009-11-30;102.6113521086;99.8302589384;99.5172004977;99.2850026112;100.0400083564;100.1756730869;99.3488070371;100.2946287546;100.0361459771;99.7092915316;99.8419955515;99.9544789215;97.1422197226;;98.3258941259;98.2736777008;99.0395680555;98.5765278918;100.8975673436;99.9605487657;99.0470830565;100.5687094841;99.9290389924;100.4342804647;100.3485677123;99.1087616077;99.6748491811;98.5400719328;98.9315331589;100.1003173106;98.7627942484;98.9522526336;99.1536246005;99.6872694427;98.8518769089;99.5548755827;95.5487029599;98.7355086832;145.4709530987;93.6204372071
2009-12-01;102.9207726589;99.7490885977;99.64293461;99.4140220589;100.4045119055;100.0337105746;99.5131990168;100.6785564137;100.0913297617;99.7678508721;99.9520824374;100.0113558377;97.7304882163;;98.6611524332;98.5118513491;99.1986027498;98.7874185332;101.3756820592;100.1570561591;99.2998066437;100.9486577071;100.0632489686;100.9272044203;100.7257220858;99.4947999761;99.96381094;98.6268846206;99.1626225065;100.4178539635;99.2534979055;99.2736337524;99.3234580368;99.7070332781;99.213448852;99.9571723512;96.6460742818;98.8265779197;145.4147771012;92.6905498882
2009-12-02;102.6915888491;99.7556351265;99.6731906281;99.4759608657;100.4607858569;100.0351437284;99.6315994396;100.6948248408;100.1704459143;99.7751587907;99.9793992616;100.0243021464;97.9142952127;;98.9851208118;98.7910978351;99.2767496842;98.8663141208;101.6743129616;100.3401556332;99.3900535191;101.0342629379;100.0948673579;100.9216728856;100.7547671582;99.7316216083;100.1420016171;98.6956148629;99.1568960399;100.7073252091;99.3314621615;99.6258963123;99.3200466248;99.7633582739;99.3495757336;100.2186141963;96.6187386612;98.8534886151;145.4799891472;90.7891657067
2009-12-03;102.3334084195;99.7612892252;99.7150563102;99.5066309996;100.2399426469;100.1093758979;99.7193223409;100.6278084213;100.2220535695;99.798060325;99.9935884014;100.0194885745;97.7716583574;;99.0981069903;98.9349649825;99.3361651955;98.9639723468;101.9670244276;100.4427574598;99.6032619881;100.9908243531;100.1057867894;100.701024959;100.59111923;99.9172973678;100.5112913596;98.7564182818;99.1931958889;101.0781523423;99.4047067649;99.7976964602;99.3405499767;99.7920042107;99.4671122406;100.4849053257;97.5678031507;98.8931377561;145.5123732849;88.9024639247
2009-12-04;102.1991010325;99.7584873868;99.7147053489;99.4927552961;100.3739634352;100.201282836;99.7406815027;100.6031218836;100.2136760916;99.7895534017;99.9861215887;100.0060659767;97.5663260538;;99.1266687893;99.0384898093;99.3226054182;98.966318057;102.0696087736;100.4811054237;99.6150872556;101.0940152961;100.1090687098;100.8233042786;100.6959413664;99.9223076906;100.4893607198;98.740225623;99.1078356896;101.2512095551;99.3337230646;99.9413517168;99.2829168328;99.7819737046;99.445295685;100.6351179992;98.2133263037;98.8532577747;145.5067145176;89.4031752755
