,DI 0.5y,DI 1y,DI 1.5y,DI 2y,DI 3y,DI 4y,DI 5y,DI 6y,DI 7y,DI 8y,DI 9y,DI 10y
2009-08-28 00:00:00,102.1920361741528,104.07279399695939,105.70976576006301,106.5718885734443,106.85723639810939,106.717174356641,106.22023672778661,106.06363104967812,105.83035690989828,105.67754739538903,105.69099777944056,106.37402774783409
2009-08-31 00:00:00,102.19334302873077,104.10204052909484,105.7648822576329,106.60368787753467,106.83389090986098,106.70021920584313,106.20725887084787,105.9261899821133,105.8090303203823,105.84235180476625,105.87485792178893,106.57823722122815
2009-09-01 00:00:00,102.20424230810293,104.14248937962867,105.83364405733354,106.66547583285411,106.90038311008206,106.80994816934795,106.41505734388505,106.07620949316635,105.95057227668295,106.08222979002659,106.14344138659159,106.87743960071337
2009-09-02 00:00:00,102.1990474492217,104.12887512556006,105.81271923582636,106.66017839577638,106.89422149454056,106.80793660643388,106.41545101358945,106.15902091527546,105.88531415673452,105.7639323942364,105.7443401527857,106.4207192568904
2009-09-03 00:00:00,102.1870146358186,104.09235273313656,105.75434008763658,106.63663350454527,106.92238121829264,106.81354962205329,106.36932843694585,106.13786200465252,105.82569048567113,105.63020782955377,105.59170994670698,106.24808339834293
2009-09-04 00:00:00,102.18838038254678,104.12132762490828,105.81262030744139,106.73977588314229,107.06511006284778,106.93075973007016,106.58742198080199,106.39448372108163,105.96181883297213,105.72889558694709,105.69341947317452,106.3320350553584
2009-09-08 00:00:00,102.18530648721455,104.11543893445665,105.80574323688005,106.76448541541009,107.21719669652404,107.13743402097542,106.78524535260513,106.59886573543719,106.17297513079967,105.86926167212629,105.67467515311004,106.15281872027084
2009-09-09 00:00:00,102.18492648911132,104.10443687646823,105.78401239543386,106.73540717113806,107.08672036859952,106.95643506858062,106.45012064173275,106.21368723459695,105.93633116482843,105.76844817482873,105.74625564154779,106.39724388418233
2009-09-10 00:00:00,102.18687302893628,104.14640952962459,105.86416486002554,106.80246220714236,107.13562231375917,106.93973817565433,106.50615844145887,106.26777834167751,105.81163561990508,105.46604225759637,105.242602528842,105.6836512321207
2009-09-11 00:00:00,102.18792552318298,104.16837404019562,105.9055459236773,106.82736793940585,107.1806262747687,107.02685218808938,106.5995901573985,106.35021939322513,105.85465871531906,105.79544910026674,106.1560831927558,107.19678781964272
2009-09-14 00:00:00,102.18780549397862,104.16387117272092,105.89789866106645,106.8399654313413,107.21892750091365,107.09900226010467,106.61998959053376,106.22407695208476,105.80988620754971,105.62726021875439,105.51997605169456,106.08234291377765
2009-09-15 00:00:00,102.16957448008914,104.10545477814486,105.79768943937435,106.69719990978597,106.97745180226758,106.88405655746382,106.3861967444233,105.74218484105484,105.36378530137318,105.19930464633241,105.04579328068158,105.56056493505734
2009-09-16 00:00:00,102.12753029117015,103.95419364116634,105.532116305506,106.3141235608367,106.45481240899633,106.32864820647318,105.60039548721694,105.57951587932048,104.97713131841391,104.4514694883222,104.07479012703512,104.36473641478865
2009-09-17 00:00:00,102.12617579881166,103.94906448665095,105.51500711989998,106.27286805317107,106.42560830829208,106.27563108181091,105.94088142645025,105.42631119582035,105.20504347847256,105.0369448093741,104.79241222545889,105.21396706610015
2009-09-18 00:00:00,102.12251640017902,103.93553059927238,105.50575693658004,106.28956221189966,106.51035420818174,106.54655889637439,106.07225807602005,105.55415848224611,105.55415421417659,105.53409220307398,105.3931128987698,105.92237972564243
2009-09-21 00:00:00,102.0698131826006,103.75975045316882,105.2148876727658,105.90064013152458,106.01505464331004,105.97538672781062,105.85093453407833,105.27568936814112,105.12030055285075,104.77701436437445,104.23329045743748,104.3472909827218
2009-09-22 00:00:00,102.09930483154375,103.86497638864367,105.39517290430936,106.1518781609855,106.35154555970972,106.40407810542175,106.03192851345116,105.76326305774393,105.70945098716984,105.5785669532648,105.36541836661316,105.82039974287649
2009-09-23 00:00:00,102.07030771858057,103.76706923625606,105.2545407569327,106.01065862038017,106.23161685946168,106.3526757800604,106.06935045935205,105.70916940732513,105.49635143552457,105.27270645211675,104.9865488425882,105.37279641215116
2009-09-24 00:00:00,102.05994406262025,103.72929161523436,105.18260907242548,105.89557139795289,105.98079044159553,105.93279425911481,105.4725088819251,104.86664888958772,104.71141961386473,104.49328287254477,104.14393774114421,104.4547920541399
