,1y ahead,2y ahead,3y ahead,4y ahead
2007-07-18,10.204483230663929,9.340862422997947,8.934537987679672,8.672703627652293
2007-07-19,10.201745379876796,9.338809034907598,8.934209445585216,8.671663244353184
2007-07-20,10.199007529089664,9.336755646817249,9.0,8.724503764544831
2007-07-23,10.19079397672827,9.330595482546201,8.860198494182068,8.610198494182068
2007-07-24,10.188056125941136,9.328542094455852,9.0,8.719028062970569
2007-07-25,10.185318275154003,9.326488706365502,9.0,8.717659137577002
2007-07-26,10.182580424366872,9.324435318275153,9.0,8.716290212183436
2007-07-27,10.17984257357974,9.322381930184804,9.0,8.714921286789869
2007-07-30,10.171629021218344,9.316221765913758,8.930595482546202,8.660219028062972
2007-07-31,10.244435318275155,9.368624229979467,9.0,8.709445585215606
2007-08-01,10.24205338809035,9.36621492128679,9.0,8.70807665982204
2007-08-02,10.239671457905544,9.363805612594113,9.0,8.706707734428473
2007-08-03,10.160677618069816,9.30800821355236,8.929281314168378,8.65605749486653
2007-08-06,10.152464065708418,9.301848049281315,8.928295687885011,8.6529363449692
2007-08-07,10.149726214921287,9.299794661190965,8.927967145790555,8.651895961670089
2007-08-08,10.146988364134154,9.297741273100616,8.9276386036961,8.65085557837098
2007-08-09,10.222997946611908,9.425687885010268,9.051252566735112,8.69712525667351
2007-08-10,10.14151266255989,9.445756331279945,9.097878165639973,8.695756331279945
2007-08-13,10.133299110198493,9.441649555099247,9.095824777549623,8.691649555099247
2007-08-14,10.130561259411362,9.440280629705681,9.095140314852841,8.690280629705681
2007-08-15,10.127823408624229,9.438911704312115,9.094455852156058,8.688911704312114
2007-08-16,10.125085557837098,9.437542778918548,9.093771389459274,8.687542778918548
2007-08-17,10.122347707049965,9.436173853524984,9.093086926762492,8.686173853524982
2007-08-20,10.11413415468857,9.273100616016427,9.0,8.682067077344286
2007-08-21,10.111396303901437,9.27104722792608,9.0,8.680698151950718
2007-08-22,10.192032854209446,9.315619438740589,9.0,8.679329226557153
2007-08-23,10.18965092402464,9.313210130047914,9.0,8.677960301163587
