date;2y Note;5y Note;10y Note;10y Note Ultra;30y Bond;30y Bond Ultra
2008-05-22;132.4202970251;170.3133409749;336.0500675877;;248.0725706358;
2008-05-23;132.7933949184;171.2163845988;338.2740305332;;250.3330579062;
2008-05-26;;;;;;
2008-05-27;132.5970276061;170.5180204269;336.2353978331;;247.7353294974;
2008-05-28;132.3417501002;169.7473718252;334.0114348876;;245.8123195288;
2008-05-29;132.2730215409;169.3019369335;332.5751254852;;243.9567173026;
2008-05-30;132.3515684658;169.446361298;333.3164464671;;245.0699909205;
2008-06-02;132.6952112622;170.4096720501;335.9574024649;;246.3858251422;
2008-06-03;132.9406704026;171.1442567063;338.4593607787;;248.2751312396;
2008-06-04;132.9406704026;170.9515945559;337.8107049196;;246.9256268843;
2008-06-05;132.7933949184;170.3976547485;335.8184047808;;244.935040485;
2008-06-06;133.0192173275;171.2285584377;338.0423677264;;247.0942474535;
2008-06-09;132.2337480784;169.7473718252;335.9110699036;;246.8243465824;
2008-06-10;131.8213767227;168.6636953946;332.9921185375;;244.7327160445;
2008-06-11;132.0962909598;169.2056058582;333.7797720807;;244.9687106187;
2008-06-12;131.6642828729;167.8447969664;330.5828253465;;242.3709822099;
2008-06-13;131.5660992167;167.3993620746;329.6098415578;;241.4939055918;
2008-06-16;131.6053726792;167.4474553639;330.2121648555;;242.1010813389;
2008-06-17;131.7919216258;167.820750321;331.3704788897;;242.1686577695;
2008-06-18;131.93919711;168.5553349772;333.3164464671;;243.9230134314;
2008-06-19;131.6642828729;167.9411280416;331.6948068192;;243.1470146895;
2008-06-20;131.9588338413;168.7239504822;333.5481092739;;244.9687106187;
2008-06-23;131.7428297978;168.3264523425;332.8531208534;;244.597765609;
2008-06-24;132.0471991318;168.9887525673;334.8917535535;;246.4194952758;
2008-06-25;132.194474616;168.9887525673;334.4284279398;;246.0822203998;
2008-06-26;132.5872092405;170.0363650509;337.0230513763;;248.3088013732;
2008-06-27;132.6461194342;170.2170098997;337.5327095514;;249.7258821591;
2008-06-30;132.7148479935;170.3976547485;337.8107049196;;249.5909317236;
2008-07-01;132.6853928966;170.3373876203;337.6717072355;;249.4220749911;
2008-07-02;132.8621234777;170.6986652757;338.6910235855;;250.7379092127;
2008-07-03;132.9701254994;170.9273913732;339.1080166378;;250.1981074706;
2008-07-04;;;;;;
2008-07-07;133.1174009836;171.2886690286;340.5443260402;;251.1090903857;
2008-07-08;133.1664928117;171.6980399749;341.7026400743;;252.2899404342;
2008-07-09;133.3334050271;172.1556487055;342.4902936175;;253.0320666167;
2008-07-10;133.284313199;172.2640091245;342.9999517926;;253.3019674878;
2008-07-11;132.8130316496;170.9395652121;339.2933468833;;250.1307334657;
2008-07-14;133.1664928117;171.6619760279;340.9149865311;;252.0537434344;
2008-07-15;133.3628601239;172.2399624791;342.2586308107;;252.3573144391;
2008-07-16;133.3137682959;171.7703244047;340.6369911629;;249.3884048575;
2008-07-17;132.9406704026;170.7347292228;337.7180397968;;247.5327688937;
2008-07-18;132.803213284;170.289294331;336.8840536922;;246.8580167161;
2008-07-21;132.7639398215;170.3253582765;337.3473793059;;247.3304781909;
2008-07-22;132.6461194342;169.9520633195;336.4670606399;;246.4870717064;
2008-07-23;132.4497521219;169.4223146541;335.1234163603;;245.3062216579;
2008-07-24;132.9406704026;170.7589324054;338.5056933401;;248.3088013732;
2008-07-25;132.7541214559;170.204992598;336.3743955172;;245.7447430982;
2008-07-28;133.0683091555;171.0960068782;338.8300212696;;248.3763778038;
2008-07-29;132.9603071338;170.8190429964;338.366695656;;248.0725706358;
2008-07-30;132.930852037;170.8190429964;338.366695656;;247.9376202003;
2008-07-31;133.2155846397;171.6017088997;340.4979934788;;249.3884048575;
2008-08-01;133.2548581022;171.8546381783;341.1003167765;;250.2656839012;
2008-08-04;133.1861295429;171.6739933295;340.5443260402;;249.8269262977;
2008-08-05;133.1763111773;171.553627651;340.1273329879;;248.9161795459;
2008-08-06;133.0977642524;171.2646344254;339.4786771287;;247.5666751906;
2008-08-07;133.4217703176;172.3362935543;342.7682889857;;251.0078100838;
2008-08-08;133.2646764678;171.9992070394;341.9343028811;;251.2777109549;
2008-08-11;133.1174009836;171.6619760279;340.6369911629;;249.523355293;
2008-08-12;133.411951952;172.4446419312;343.1389494767;;251.5476118259;
2008-08-13;133.3039499303;172.11958476;342.2122982493;;250.6366289109;
2008-08-14;133.4414070488;172.5530023502;343.4169448448;;252.4248908697;
2008-08-15;133.5690458018;172.8661867163;344.2509309494;;253.6731486607;
2008-08-18;133.7065029204;173.1672092857;345.1312496154;;254.6178017094;
2008-08-19;133.7457763829;173.1309888015;344.7605891245;;253.8754393636;
2008-08-20;133.9225069639;173.5765802305;345.9189031586;;254.8877025805;
2008-08-21;133.7654131141;173.1430061031;344.8995868086;;254.2129504028;
2008-08-22;133.5690458018;172.7216178552;344.0192681426;;254.111670101;
2008-08-25;133.8055732938;173.4478134104;346.4548027843;;256.015128304;
2008-08-26;133.7858626695;173.399479458;346.4079655797;;256.1510896042;
2008-08-27;134.0026795372;173.6414881541;347.1105236494;;256.5250511604;
2008-08-28;133.8351392303;173.4357329483;346.7826632169;;256.5250511604;
2008-08-29;133.8942711033;173.4357329483;346.2206167611;;255.1993605027;
2008-09-01;;;;;;
2008-09-02;134.111087971;174.1862588948;348.3751281749;;256.9329350611;
2008-09-03;134.1603645318;174.56152792;349.5460582911;;257.9866691281;
2008-09-04;134.3180495265;174.9730504355;350.5296395887;;259.0401992531;
2008-09-05;134.1997857805;174.68253832;349.5928954958;;259.0401992531;
2008-09-08;134.0618114102;174.3072692948;348.9840118353;;259.4141608093;
2008-09-09;134.2687729657;174.8641204976;350.4828023841;;261.4535803125;
2008-09-10;134.2589176535;174.6098618724;349.2650350632;;260.3658899108;
2008-09-11;134.347615463;174.7914561539;349.7802443144;;261.0117740675;
2008-09-12;134.2194964048;174.3072692948;347.6725701052;;257.9866691281;
2008-09-15;135.3824232406;176.6555392484;353.8082439141;;263.866961372;
2008-09-16;134.9389341931;175.9414241538;352.8246626165;;264.5806902175;
2008-09-17;135.5992401083;177.2486439415;355.4007088722;;265.2604967186;
2008-09-18;135.5893847961;177.0549691979;355.1665228489;;264.9885741181;
2008-09-19;134.3377601509;173.6899915735;346.6421516029;;257.0349400266;
2008-09-22;134.3968920239;173.4963168298;345.1433610542;;255.5052054475;
2008-09-23;134.4166026482;173.399479458;344.3002913705;;254.6215929574;
2008-09-24;134.7713938862;174.101514089;345.4243842821;;255.3013994585;
2008-09-25;134.2392070292;172.9515460891;342.7546636171;;254.0096311452;
2008-09-26;134.5545770185;173.7747363777;344.1597797566;;255.4712831031;
2008-09-29;135.3922785527;175.8687477062;349.4523838818;;260.6717348557;
2008-09-30;134.6235642037;173.8957467793;343.5977333008;;254.8935155578;
2008-10-01;135.0276320026;174.7308722739;345.0028494402;;257.1367410501;
2008-10-02;135.4316998014;175.8808402738;346.2206167611;;259.7200057542;
2008-10-03;135.4119891771;176.0382615256;347.7194073098;;260.263850955;
2008-10-06;135.9934525949;177.7692416525;353.6208950955;;265.3285793396;
2008-10-07;135.7372144786;177.0792995876;351.1385232492;;262.6433096701;
2008-10-08;135.4415551136;175.6267390101;344.5344773937;;257.306862627;
2008-10-09;134.9783554417;174.3678531763;340.3191289754;;253.4657859443;
2008-10-10;135.3035807432;174.56152792;340.36596618;;253.7037862003;
2008-10-13;134.5053004577;172.7699518076;336.4784781942;;250.2708313506;
2008-10-14;134.9093682566;173.2420582046;336.1506177617;;249.693029815;
2008-10-15;135.2247382459;173.6535807217;335.6354085105;;248.5372567922;
2008-10-16;135.4218444892;174.3557606087;336.6189898082;;248.843101737;
2008-10-17;135.4021338649;174.3435227866;335.4948968966;;245.9200697437;
2008-10-20;135.0571979391;174.3799336384;338.773501222;;246.8717988452;
2008-10-21;135.4316998014;176.1713523893;343.2230356636;;250.542753951;
2008-10-22;135.5006869866;176.3771075951;345.4712214867;;252.0383282533;
2008-10-23;135.6682272934;176.6555392484;347.2510352633;;256.5928958492;
2008-10-24;135.5893847961;176.3529345653;345.0965238495;;254.4175150458;
2008-10-27;135.5499635474;176.316681075;345.0965238495;;255.2332828471;
2008-10-28;135.5105422987;175.8204137538;342.8015008217;;253.1260186551;
2008-10-29;135.7175038543;175.8566672441;341.9115939334;;250.2368750158;
2008-10-30;135.6583719813;175.6992459923;340.4596405893;;248.6732180924;
2008-10-31;135.5006869866;175.4813982189;338.9608500406;;246.0899533883;
2008-11-03;135.9638866584;176.8856248439;341.1153614544;;247.0077601454;
2008-11-04;136.1314269653;178.3017745695;345.0965238495;;250.9506378516;
2008-11-05;136.2398353991;178.8707062329;346.0801051471;;253.7037862003;
2008-11-06;136.3778097695;179.1853913781;346.0801051471;;254.0777477566;
2008-11-07;136.2496907113;178.7376153708;344.9091750309;;253.1260186551;
2008-11-10;136.5059288276;179.2580557203;346.3142911704;;255.9130893482;
2008-11-11;136.5552053885;179.5002338833;347.7194073098;;257.6466639065;
2008-11-12;136.8015881926;180.5169415541;349.6865699051;;256.8989787263;
2008-11-13;136.6241925736;180.274932858;348.9371746307;;254.553476346;
2008-11-14;136.5453500763;180.5533524059;350.4828023841;;257.8846641626;
2008-11-17;136.6241925736;181.0617122947;352.0752673421;;258.4624317078;
2008-11-18;136.821298817;181.7516664636;355.1196856443;;261.3857016334;
2008-11-19;136.9494178752;182.3085176664;357.4615458767;;265.6005019401;
2008-11-20;137.1859453672;183.5430731105;361.8642431137;;273.6222186527;
2008-11-21;137.1859453672;183.5060180582;361.3865975974;;274.7543796191;
2008-11-24;136.9969429046;181.9594181542;357.8997853287;;272.8330203211;
2008-11-25;137.7728477511;183.7906058028;364.491293453;;276.6072218722;
2008-11-26;137.6335827786;184.0998886668;367.9781057217;;279.0088180647;
2008-11-27;;;;;;
2008-11-28;138.0314826999;184.8297927625;369.7931586835;;279.9352563463;
2008-12-01;137.9916927078;186.3640451067;374.569613846;;286.8657365742;
2008-12-02;137.7927427472;186.6239129872;375.333846672;;288.1696533379;
2008-12-03;137.7231102609;187.1682201446;377.4354869435;;289.7477755213;
2008-12-04;137.8026902452;187.861069188;380.1580663862;;293.9679725994;
2008-12-05;137.7728477511;186.6856755305;376.1458440496;;292.9730515829;
2008-12-08;137.6136877826;186.2279992481;375.2860821204;;293.0760158553;
2008-12-09;137.8424802373;186.9083398926;377.0533705305;;295.0316508308;
2008-12-10;137.7032152649;186.7475989145;375.3816112236;;293.7964912821;
2008-12-11;137.9220602216;187.2301435286;378.9639525955;;295.1688907807;
2008-12-12;137.8623752334;187.2424910884;380.1103018345;;296.0265718473;
2008-12-15;138.1210101822;188.2693304868;381.2566510735;;296.884252914;
2008-12-16;138.4592251153;189.6673885063;387.0839263718;;301.6534097916;
2008-12-17;138.349802637;189.5807576313;389.9020349177;;305.9765711421;
2008-12-18;138.4890676094;190.1005181369;391.2872069149;;310.4710079501;
2008-12-19;138.3895926291;189.5066475283;388.1825110592;;309.1673656664;
2008-12-22;138.369697633;188.9374844107;387.9914528527;;308.9271271342;
2008-12-23;138.4293826212;189.0488104052;388.6601565755;;309.6133268835;
2008-12-24;138.4094876252;188.7889301532;387.3705136816;;308.4468902396;
2008-12-25;;;;;;
2008-12-26;138.4393301193;189.209712224;389.233331195;;309.9908053655;
2008-12-29;138.7477025583;189.692244465;390.5229740889;;309.3730883512;
2008-12-30;138.8471775386;189.3828007618;389.1378020917;;310.539765165;
